AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
1053127,111,19.8,21.6,0.9,13.5,22.5,15.3,6.4
1053128,115,20,22.6,1.7,8.7,21.7,10.4,14.9
1053129,8629,23.2,28.3,3,5.1,15.4,19.8,5.2
1053130,327,18,31.8,3.4,6.4,14.1,18.7,7.6
1053131,104,29.8,21.2,1.9,14.4,19.2,10.6,2.9
1053132,426,27.9,26.8,2.3,9.2,12.7,11,10.1
1053133,962,26.5,21.5,3,4.8,21.5,18,4.7
1053134,162,22.2,25.9,4.3,11.7,19.1,11.1,5.7
1053135,96,47.9,18.8,0,5.2,20.8,5.2,2.1
1053136,523,28.7,23.1,2.5,8.4,17.6,12.6,7.1
1054001,718,27.6,24.1,1.4,5.7,12.8,10.4,18
1054002,278,27,28.1,1.4,5.8,11.5,16.5,9.7
1054003,298,26.5,20.1,4.7,6.4,13.4,16.4,12.5
1054004,118,37.3,23.7,0,3.4,12.7,10.2,12.7
1054005,196,41.3,20.9,1.5,2.6,13.8,14.3,5.6
1054006,235,27.7,27.2,2.1,8.1,7.7,11.9,15.3
1054007,198,21.7,21.7,3,8.1,24.2,9.6,11.7
1054009,204,15.7,16.7,2.5,4.9,12.7,23,24.5
1054010,337,30.3,25.5,2.1,2.7,10.1,15.4,13.9
1054011,306,33.7,19.9,2.3,6.5,19.9,8.2,9.5
1054012,381,24.9,27.8,2.1,4.7,10.2,15.7,14.6
1054013,111,28.8,17.1,4.5,8.1,15.3,6.3,19.9
1054014,920,27.1,25,3.5,4.9,12.6,15.2,11.7
1054015,186,36.6,21.5,1.6,2.2,16.1,14,8
1054016,118,30.5,25.4,1.7,1.7,8.5,17.8,14.4
1054017,354,26.8,23.4,2.3,8.8,11.6,15.5,11.6
1054018,102,31.4,19.6,3.9,2.9,7.8,15.7,18.7
1054019,1944,19.2,32.2,3,5.9,11.5,14,14.2
1054020,1006,24.3,30.2,2.1,4,11,14.6,13.8
1054022,411,20.4,29.4,2.9,9.5,9,14.1,14.7
1054023,311,23.2,23.8,2.9,5.8,17.7,12.5,14.1
1054024,637,25.6,21.4,4.1,4.1,12.4,18.1,14.3
1054025,50,42,28,6,6,10,4,4
1054026,514,29.2,30.5,2.9,6.8,11.5,10.9,8.2
1054027,55,25.5,14.5,0,10.9,12.7,12.7,23.7
1054032,137,12.4,31.4,3.6,10.9,11.7,19.7,10.3
1054033,988,18.8,31.2,3.2,8.4,9.3,11.3,17.8
1054034,90,43.3,14.4,2.2,3.3,15.6,13.3,7.9
1054035,134,20.1,20.1,0.7,8.2,20.9,20.9,9.1
1054036,954,22.4,29,4.8,6.3,11.7,13.7,12.1
1054037,200,26.5,24.5,1,8.5,14,9,16.5
1054038,221,27.1,20.8,1.4,5.4,16.3,14.9,14.1
1054040,119,31.9,13.4,2.5,0.8,19.3,21,11.1
1054041,467,30.2,26.1,2.6,2.1,13.1,14.8,11.1
1054042,1106,22.2,28.4,2.8,7.4,11.3,15.5,12.4
1054043,140,27.1,18.6,6.4,3.6,17.9,12.9,13.5
1054045,229,31.4,18.8,2.2,5.7,14.4,11.8,15.7
1054046,304,27.3,27,3.3,5.6,12.2,15.5,9.1
1054050,96,30.2,20.8,6.2,6.2,8.3,16.7,11.6
1054052,426,28.4,23.2,1.9,6.6,13.1,13.4,13.4
1054054,137,12.4,31.4,3.6,10.9,11.7,19.7,10.3
1054055,356,20.8,28.9,2.8,7.6,12.1,9,18.8
1054056,13594,19.5,27.5,3.6,5.3,10.9,20.4,12.8
1054057,328,34.8,25.9,0.9,4.6,13.7,9.5,10.6
1054059,430,27.9,25.8,2.1,6.3,10.7,9.5,17.7
1054061,158,44.9,10.8,3.2,3.2,15.8,15.8,6.3
1054062,121,21.5,32.2,1.7,3.3,20.7,7.4,13.2
1054063,96,21.9,29.2,3.1,4.2,14.6,13.5,13.5
1054065,409,23.5,28.1,1.5,7.3,11.7,12.7,15.2
1054068,433,23.3,19.4,3.2,8.1,8.8,20.1,17.1
1054070,442,22.9,23.8,2.7,6.3,11.3,17.9,15.1
1054072,89,22.5,31.5,3.4,1.1,18,15.7,7.8
1054073,705,28.8,20.6,4.1,5.2,12.1,12.2,17
1054075,1489,23.9,25.5,3,5.2,13.8,13.6,15
1054076,3104,22.7,29,2.6,7.3,10.1,13.5,14.8
1054077,354,26.8,23.4,2.3,8.8,11.6,15.5,11.6
1054078,463,27.6,25.9,3.2,4.8,10.2,14.7,13.6
1054079,410,34.9,19.8,1,3.7,14.6,17.6,8.4
1054080,193,20.2,20.2,3.1,8.8,15,15,17.7
1054083,203,45.3,16.3,2.5,6.9,9.9,13.8,5.3
1054084,1640,22.1,29.8,1.5,7,14.6,14.7,10.3
1054085,352,30.4,25.9,4.8,1.1,10.8,20.7,6.3
1054086,512,26,21.7,2.7,7.8,11.9,10.9,19
1054087,255,38.4,18,2.7,3.5,12.5,18.4,6.5
1054088,3681,20.2,27.7,3.7,6.2,11.1,16.8,14.3
1054089,262,23.7,21,6.5,1.1,18.3,21.4,8
1054090,637,22.1,28.3,3.1,7.8,17,11,10.7
1054091,968,27.2,30.8,2.9,5.4,12.9,11.4,9.4
1054092,198,31.8,21.2,0.5,7.6,8.6,16.7,13.6
1054093,144,22.9,20.8,6.2,4.2,19.4,13.9,12.6
1054094,160,45,25.6,0.6,1.2,8.1,11.9,7.6
1054095,637,22.1,28.3,3.1,7.8,17,11,10.7
1054096,333,28.5,26.7,3.9,9,15,4.2,12.7
1054097,226,35.8,13.7,0,4,20.4,12.8,13.3
1054098,249,40.6,17.3,2.4,5.2,14.1,11.6,8.8
